Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Acly,0,0.0562668,-1.25269,-1.92867,-2.38525,-2.79661,-2.40158,-2.40985,-2.4049,-2.66208,-2.79661,-3,,,
Crip2,0,-0.342171,-0.527882,-0.681715,-1.21021,-1.15102,-1.62844,-1.81096,-1.86242,-2.79535,-2.79535,-3,,,
Tcf3,0,-0.296836,-2.01766,-1.55834,-2.0426,-2.39395,-2.18252,-2.12427,-1.87798,-2.79344,-2.79344,-3,,,
Rad51c,0,-0.871508,-1.06784,-1.75404,-2.34087,-2.33731,-2.78981,-2.39648,-2.39196,-2.47418,-2.78981,-3,,,
Pkig,0,-0.514661,-1.14629,-1.95416,-1.73603,-2.57766,-2.48783,-2.39973,-2.05329,-2.77884,-2.77884,-3,,,
Impdh2,0,-0.949066,-1.6127,-2.24379,-2.27924,-2.63509,-2.59523,-2.47158,-2.40962,-2.77367,-2.77367,-3,,,
Ctps1,0,-0.744524,-1.12499,-1.52306,-1.7264,-2.53504,-2.24868,-2.28003,-2.30081,-2.7695,-2.7695,-3,,,
Jmjd6,0,-0.507729,-1.04247,-1.56098,-2.00414,-2.1986,-2.45613,-2.18858,-2.38438,-2.76882,-2.76882,-3,,,
Tmpo,0,-0.745689,-1.58402,-1.62819,-1.70622,-2.06253,-2.76602,-2.67565,-2.20285,-1.92572,-2.76602,-3,,,
Lama5,0,-0.158421,-0.434368,-0.890621,-1.54893,-2.32457,-2.35934,-2.44218,-2.47184,-2.76509,-2.76509,-3,,,
Smarcc1,0,-0.658625,-1.05157,-1.55582,-1.75529,-2.15873,-2.28044,-1.88095,-2.28636,-2.75603,-2.75603,-3,,,
Fscn1,0,-0.450235,-0.77511,-0.819721,-1.18509,-1.539,-1.91652,-2.25958,-2.47904,-2.74483,-2.74483,-3,,,
Tma16,0,-1.00156,-2.0699,-2.1971,-2.45685,-2.6118,-2.29532,-2.44018,-2.44042,-2.73903,-2.73903,-3,,,
Parp12,0,-0.111403,-1.09442,-1.3435,-2.26803,-1.71737,-1.95861,-2.73708,-2.21212,-1.70861,-2.73708,-3,,,
Pde1c,0,-0.313583,-1.09521,-1.51902,-1.58545,-2.23383,-1.78599,-1.81583,-1.81079,-2.73604,-2.73604,-3,,,
Kiaa1524,0,-1.02051,-2.25215,-2.28116,-2.18811,-2.35332,-2.28645,-2.73391,-2.68877,-1.67753,-2.73391,-3,,,
Dnmt1,0,-0.547556,-1.35265,-1.75384,-2.1267,-2.73053,-2.63292,-2.23566,-2.26877,-2.54581,-2.73053,-3,,,
Smc6,0,-0.837797,-1.75954,-2.29986,-2.46468,-2.61906,-2.18213,-2.56254,-2.72948,-2.33238,-2.72948,-3,,,
Rfc2,0,-1.14264,-1.93175,-2.20912,-2.6604,-2.65242,-2.72218,-2.62464,-2.72808,-2.55454,-2.72808,-3,,,
Rfc1,0,-1.12693,-2.14095,-2.16234,-2.42341,-2.5277,-2.65367,-2.64881,-2.72522,-2.64193,-2.72522,-3,,,
Nup50,0,-0.445522,-1.49188,-1.97084,-2.1699,-2.67729,-2.48338,-2.61366,-2.56629,-2.71343,-2.71343,-3,,,
Hnrnpab,0,-0.856533,-1.30131,-1.50406,-1.71776,-2.11473,-2.34716,-2.19505,-2.40739,-2.70838,-2.70838,-3,,,
