NAME	TITLE	SCORE	
Ddit3.1		1.0348434	
Igfbp4		1.0335766	
Ndrg1		1.033329	
Trf		1.0331844	
Plekho1		1.0330408	
Hbegf		1.0293516	
Gmpr		1.0286121	
Atp1b3		1.0275999	
Glipr1		1.0256721	
Fam20c		1.0189202	
Stra6		1.0164953	
Tmem106a		1.0156496	
Map2k3		1.0147196	
Crybg2		1.0140277	
Cpeb4		1.0127257	
Uaca		1.0103155	
Lgi3		1.0101258	
Fnip2		1.0098045	
Epha4		1.0073903	
Ehf		1.0072056	
Mctp1		1.004717	
Hck		1.0045363	
Itprip		1.004302	
Rnf125		1.0040436	
Ifit3		1.0034698	
Natd1		1.0016766	
Ptgs1		0.9970302	
Slc31a2		0.9961384	
Atp13a2		0.9956321	
1700017B05Rik		0.9914082	
Mmd		0.99070543	
C1qa		0.9901195	
Gdpd3		0.9891079	
Cat		0.9889093	
Abl2		0.98804206	
Pigz		0.98755544	
Bspry		0.986239	
Cldnd1		0.98620516	
Slc2a9		0.9842945	
Gk		0.98249304	
Hras		0.98142886	
Tgfb2		0.9812125	
Celsr2		0.9809451	
Snx7		0.9800316	
Hist1h3c		0.9780253	
Scnn1g		0.9742704	
Iffo2		0.9736446	
Rtn4		0.9707967	
Cd93		0.9703974	
Serpinb5		0.9694224	
Cks2		0.9673761	
Wwtr1		0.9631621	
Blvrb		0.96234673	
Rnf144b		0.96212465	
Mal		0.9614767	
Lpin3		0.958768	
Tacc1		0.9583415	
Eid3		0.95775944	
Prkar2b		0.957584	
Phlda3		0.95365506	
Ece1		0.95317036	
Tent5b		0.95014626	
Slc6a20a		0.94953895	
Ahnak2		0.9470077	
Txn1		0.94428176	
Capn15		0.9430209	
Birc3		0.94249123	
Mindy3		0.94211537	
Csf1r		0.9416292	
Dedd2		0.93373317	
Cdca3		0.93205935	
Tcp11l2		0.9319473	
Prelid1		0.93164164	
Mgll		0.92874503	
Rrp12		0.92671454	
Hsbp1l1		0.92650217	
Notch4		0.9255509	
Rnd3		0.92435676	
Rerg		0.92419785	
Mki67		0.9218062	
Psapl1		0.9189633	
Rab27a		0.91724604	
Fes		0.914965	
Tmem104		0.914965	
Plekha7		0.9147113	
Cldn4		0.91137016	
Dusp3		0.9099136	
Phlda1		0.908106	
Mocos		0.90807986	
Antxr1		0.9079799	
Csrnp1		0.9074868	
Ctsc		0.9068174	
Rarg		0.9061221	
Map7d1		0.905866	
Ndst1		0.9054029	
Lpcat1		0.90497595	
C1qc		0.9021409	
Hist1h2bj		0.89910686	
Mgl2		0.89770865	
H2-Ab1		0.8949777	
Snx8		0.8933194	
Hsdl2		0.89134544	
N4bp3		0.8913305	
Snx25		0.88591844	
Prex1		0.8843196	
Ccn5		0.88315904	
Leo1		0.8821695	
Arhgef17		0.8818922	
Hist1h2bk		0.8815342	
Col23a1		0.88124657	
Gm2a		0.88100433	
Hist1h2bc		0.87970275	
Dtnbp1		0.87848336	
B4galnt1		0.8778933	
Tgfa		0.8767731	
B2m		0.8757144	
Vash1		0.8741056	
S100g		0.8734765	
Cmc2		0.87277883	
Rab34		0.87239355	
Arhgap45		0.87088996	
Cryab		0.8687027	
Gbp3		0.8655543	
Pdlim2		0.86445034	
Pabpc1		0.8629422	
Gadd45b		0.86230063	
Lyn		0.86124617	
Prnp		0.8595945	
Hist2h2bb		0.8595451	
Ccng2		0.8589364	
Trps1		0.8579411	
Hif1a		0.85680294	
Cd74		0.8564396	
Tmem65		0.8560481	
Spc24		0.8532019	
Wdr12		0.85259837	
Usp25		0.8481108	
Ppp1r13l		0.84773505	
Entpd1		0.84757656	
Fyb		0.8444368	
Nuak2		0.84275055	
Cdk1		0.842478	
Rgl1		0.84198195	
Npc2		0.8413428	
Gde1		0.8408027	
Pcdh1		0.8398409	
B4galt5		0.8394559	
Mpzl3		0.8385836	
Wsb1		0.83843297	
Smap2		0.8376715	
Wnk2		0.8375572	
Tbx2		0.8371579	
Itpkb		0.8333466	
Rnf150		0.8326183	
Ninj1		0.83135253	
Rin3		0.83071774	
Gbp7		0.8284388	
Ptprs		0.8280285	
Ankrd50		0.826528	
Yod1		0.82538766	
Pitpnm2		0.8247988	
Gipc1		0.8229862	
Hist1h3b		0.8199969	
Fam117a		0.81771374	
5-Sep		0.81636447	
Fhdc1		0.8161788	
Chp1		0.8147124	
Plpp3		0.81430644	
Bicd2		0.8139303	
Atp11a		0.8129605	
Lcp1		0.8128808	
H2-DMb2		0.81264275	
Phldb3		0.81229126	
Gnb5		0.81201535	
P3h4		0.81120175	
Syne1		0.810993	
Cxcl16		0.8109626	
Sh3bp5		0.81079197	
1810037I17Rik		0.81044215	
Fam162a		0.8098422	
Il3ra		0.8082643	
Krt10		0.8082476	
Cdkn1a		0.80770046	
Stk24		0.80715764	
Ets1		0.8070975	
Fkbp11		0.80673116	
Hey1		0.80632895	
Pstpip2		0.80532837	
Tmeff1		0.8050695	
Sowahc		0.8048091	
G6pdx		0.8039336	
Zbp1		0.7995244	
Ostf1		0.79945564	
Cast		0.79881334	
Map3k20		0.79823095	
Ly6g6e		0.79648626	
Eppk1		0.79473674	
Sidt2		0.79059637	
Atp6v1e1		0.79013246	
Fem1c		0.7896662	
Ftl1-ps1		0.7872769	
Fam83g		0.78695613	
Zc3h12a		0.78594786	
Elovl5		0.78107744	
Cbx8		0.77974737	
Cpxm1		0.77890605	
Slc46a3		0.772704	
Shmt2		0.772373	
Nfkbia		0.7716875	
Nbeal2		0.77108717	
Stx11		0.76966906	
Fli1		0.76957405	
Ap2a2		0.76723397	
Siva1		0.7651468	
Nucb2		0.76417726	
Stap2		0.7638207	
Sh3bp5l		0.7638061	
Uba52		0.7616033	
Ppp1r14b		0.7601698	
Kcnj8		0.76001585	
Nfkbie		0.75980675	
Tpcn2		0.75904197	
Runx3		0.75900996	
Cldn5		0.758271	
Bmp1		0.7571623	
Ccdc85a		0.75571567	
Flna		0.75524706	
Zdhhc21		0.75507665	
Nusap1		0.7520627	
Colec12		0.7513532	
Parp12		0.7512056	
Sdr42e1		0.7498404	
Znrf2		0.7496974	
Sema4d		0.74864936	
Sec14l3		0.7473594	
Fabp4		0.7465909	
