NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TABULA_MURIS_SENIS_LUNG_B_CELL_AGEING	TABULA_MURIS_SENIS_LUNG_B_CELL_AGEING	Details ...	38	0.55319935	2.9933257	0.0	0.0	0.0	980	tags=82%, list=32%, signal=119%	
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	Details ...	62	0.47514853	2.9136746	0.0	0.0	0.0	985	tags=71%, list=32%, signal=103%	
ZHANG_UTERUS_C6_ENDOTHELIAL_PLVAP_HIGH_CELL	ZHANG_UTERUS_C6_ENDOTHELIAL_PLVAP_HIGH_CELL	Details ...	58	0.46364877	2.8594785	0.0	0.0	0.0	748	tags=67%, list=25%, signal=87%	
TABULA_MURIS_SENIS_HEART_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	TABULA_MURIS_SENIS_HEART_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	Details ...	73	0.43523386	2.8570826	0.0	0.0	0.0	860	tags=60%, list=28%, signal=82%	
TABULA_MURIS_SENIS_SPLEEN_B_CELL_AGEING	TABULA_MURIS_SENIS_SPLEEN_B_CELL_AGEING	Details ...	41	0.51295936	2.843751	0.0	0.0	0.0	1072	tags=83%, list=35%, signal=126%	
TABULA_MURIS_SENIS_MAMMARY_GLAND_B_CELL_AGEING	TABULA_MURIS_SENIS_MAMMARY_GLAND_B_CELL_AGEING	Details ...	97	0.41217494	2.8357594	0.0	0.0	0.0	862	tags=62%, list=28%, signal=84%	
TABULA_MURIS_SENIS_LUNG_BRONCHIAL_SMOOTH_MUSCLE_CELL_AGEING	TABULA_MURIS_SENIS_LUNG_BRONCHIAL_SMOOTH_MUSCLE_CELL_AGEING	Details ...	53	0.47171798	2.8205643	0.0	0.0	0.0	976	tags=77%, list=32%, signal=112%	
TABULA_MURIS_SENIS_HEART_MONOCYTE_AGEING	TABULA_MURIS_SENIS_HEART_MONOCYTE_AGEING	Details ...	49	0.48517105	2.7749767	0.0	0.0	0.0	567	tags=53%, list=19%, signal=64%	
TABULA_MURIS_SENIS_AORTA_AORTIC_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_AORTA_AORTIC_ENDOTHELIAL_CELL_AGEING		85	0.3992003	2.7309012	0.0	0.0	0.0	626	tags=53%, list=21%, signal=65%	
TABULA_MURIS_SENIS_HEART_AND_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	TABULA_MURIS_SENIS_HEART_AND_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING		86	0.4002655	2.7215672	0.0	0.0	0.0	870	tags=59%, list=29%, signal=81%	
TABULA_MURIS_SENIS_AORTA_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING	TABULA_MURIS_SENIS_AORTA_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING		54	0.45083	2.7111256	0.0	0.0	0.0	569	tags=56%, list=19%, signal=67%	
TABULA_MURIS_SENIS_LIVER_ENDOTHELIAL_CELL_OF_HEPATIC_SINUSOID_AGEING	TABULA_MURIS_SENIS_LIVER_ENDOTHELIAL_CELL_OF_HEPATIC_SINUSOID_AGEING		92	0.39730585	2.6829586	0.0	0.0	0.0	881	tags=55%, list=29%, signal=76%	
TABULA_MURIS_SENIS_LUNG_INTERMEDIATE_MONOCYTE_AGEING	TABULA_MURIS_SENIS_LUNG_INTERMEDIATE_MONOCYTE_AGEING		76	0.40816268	2.681515	0.0	0.0	0.0	581	tags=43%, list=19%, signal=52%	
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MYELOID_CELL_AGEING	TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MYELOID_CELL_AGEING		68	0.425471	2.6707344	0.0	0.0	0.0	782	tags=57%, list=26%, signal=75%	
ZHANG_UTERUS_C10_STROMAL2_RETNLG_HIGH_CELL	ZHANG_UTERUS_C10_STROMAL2_RETNLG_HIGH_CELL		24	0.5710036	2.661347	0.0	0.0	0.0	878	tags=88%, list=29%, signal=122%	
TABULA_MURIS_SENIS_HEART_ENDOTHELIAL_CELL_OF_CORONARY_ARTERY_AGEING	TABULA_MURIS_SENIS_HEART_ENDOTHELIAL_CELL_OF_CORONARY_ARTERY_AGEING		45	0.46510294	2.6612997	0.0	0.0	0.0	569	tags=53%, list=19%, signal=65%	
