"gene_id","Mio_vs_WT_log2FoldChange","ZFRP_vs_WT_log2FoldChange","Raptor_vs_WT_log2FoldChange","WT_tpm","SETDB1_GKD_vs_WT_log2FoldChange","Nup154_GKD_vs_WT_log2FoldChange","EzGLKD_vs_wGLKD_log2FoldChange","cluster"
"FBgn0250757",8.89316250635465,-0.416735341706137,0.388119765774332,0.677349044575074,8.62759441144194,7.90082739103564,9.84199634770454,"c1"
"FBgn0029167",8.87234373481737,6.86464289972802,6.65891088129888,0.179589996143398,4.72009535136017,5.29423740517432,7.58100847456353,"c1"
"FBgn0054043",8.86553076321876,0.997281417006568,0.644514745607021,0.214854572451259,8.44739757320162,8.52879385326696,2.11395844680139,"c1"
"FBgn0027560",8.8638133603393,0.995557953010154,3.10056654669348,0.721593713974356,4.50830506372608,4.35277541296584,4.95683319485608,"c1"
"FBgn0038262",8.84886733383297,1.55225459889914,2.26479166858386,0.137967289470305,5.11050185314296,5.15638047769072,2.11539992113145,"c1"
"FBgn0004580",8.82766924525996,6.48864915926636,5.17634593360105,0.0265521508695727,6.11308548819328,4.82199527467167,3.70686089516399,"c1"
"FBgn0033138",8.82169903352623,0.337353139524565,0.875723078329255,0.102912662107413,6.59479146811409,5.66984933047683,4.19006246941862,"c1"
"FBgn0033367",8.80679016722531,7.91507650966637,7.03463030481608,0.239791875690167,3.83573260203803,6.68558695157348,2.5185033679082,"c1"
"FBgn0037845",8.80231556575407,2.27982225573058,3.26279763980272,0.151039674235126,5.79954035872214,4.70322163440708,2.29021938776612,"c1"
"FBgn0024836",8.79572307271727,5.79726578517743,5.47523741809864,0.0110552647432789,5.09984212773694,7.45958495836292,2.94748033151489,"c1"
"FBgn0039325",8.77993292649248,-2.39939195666501,0.655541948225956,0.586575042294919,7.7979252413711,7.36473601091922,4.78293725616182,"c1"
"FBgn0042137",8.77237435385572,-0.0767369802852042,0.468514589295446,0.127632327301852,7.10382888005758,5.73785560564046,2.00694488301383,"c1"
"FBgn0039324",8.75298320388713,1.52605581420362,1.39549693066431,0.398025502744271,8.62899946721944,8.29896169398187,6.54550796960347,"c1"
"FBgn0085466",8.71554941003737,7.09528856466173,6.38085747845466,0.112932356779227,3.91451028148825,2.72572140909846,6.94365255136679,"c1"
"FBgn0052023",8.68315156763556,-0.315361774242404,0.545770929483213,0.469650942058921,11.4162439178322,11.9143826652449,0.230174215517873,"c1"
"FBgn0053012",8.6807309590395,-0.749097991111628,-0.856908349675173,0.0134019907776878,4.88576507386324,4.407144410073,1.69595579636337,"c1"
