"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"CG43739",NA,NA,NA,NA,NA,2.07341161854384,2.95142787739357,2.54658567872689
"CG33143",-0.458,2.021,2.587,1.435,-0.503,1.8187650261267,1.94182043084552,1.39486256324681
"ci",2.786,6.405,5.32,6.36,2.986,4.90426685913691,5.34965921613651,4.2072586988245
"Pif1A",NA,NA,NA,NA,NA,5.60820473791032,6.36482205174064,5.8197146028943
"Syp",2.293,5.818,5.962,5.936,2.709,5.33995401270395,6.20062378691431,4.85804381849664
"CG30460",0.731,3.832,4.284,3.885,1.339,3.93960295004013,4.16903252083293,3.84295292059103
"CG3597",2.708,5.114,2.126,0.578,-1,1.76808164982319,5.17759439267893,2.84152789616033
"tutl",0.478,3.597,2.905,4.362,0.771,2.75659180372278,3.29749136920158,3.36725721954247
"noc",3.211,5.5,5.318,5.069,2.021,4.79740025816484,4.62673895413476,4.30686938626894
"CG3699",3.768,5.953,-1,1.662,-0.517,2.445240544868,9.11703541244825,4.25024015266806
"RpS10a",7.007,7.548,6.46,1.95,0.073,6.14746208443517,5.01462380613535,4.77887794671008
"Tsp42Ea",3.659,4.645,5.659,4.943,3.868,7.5916058016429,7.32383785365541,7.19041463114917
"Socs36E",3.03,4.99,3.209,5.033,2.502,3.89011420267151,4.21257577072248,4.01229493689575
"otk",1.039,4.199,3.323,2.735,-0.425,2.36891841146405,2.09663688699474,1.96385917187634
"Vdup1",0.994,3.279,-1,1.892,-0.449,3.17707374620064,3.02123030741974,3.25177141938463
"CG9691",4.633,6.312,4.089,3.806,0.411,4.59252444557946,6.72440107617074,4.47424797308372
"d",-0.085,1.084,0.725,1.366,-0.652,1.61490864938978,1.65509630927777,1.43419564772046
"St1",1.544,3.941,3.131,2.6,-0.499,2.94610874166405,3.91038698494793,3.85509299108355
"CG13082",0.734,1.515,-1,3.622,-0.535,2.14578750592046,4.3196786806697,2.46336102665665
"LanB2",4.74,7.075,6.699,7.931,4.711,6.56881653602411,6.9370794828479,6.95504668128106
"Hsp67Ba",4.611,5.989,6.653,4.638,0.684,6.54263522928306,4.93332105212134,5.46836108769417
"Trim9",0.58,2.473,1.845,1.833,-0.028,2.12330559052474,3.25176869326035,1.73588876926603
"CG18249",1.818,3.409,2.186,1.227,1.036,3.07610102034778,3.12023496820487,1.97451204110344
"CG13403",2.947,6.52,4.905,1.595,-0.399,5.37250560834932,5.52691897026679,4.74840997207287
"CG16700",5.392,7.219,7.629,3.506,5.069,8.00576349621797,7.54044080167561,6.38839391005873
"Oseg5",2.387,4.704,2.048,2.796,2.604,2.59715413877013,2.44360198985068,2.14186249263551
"Fili",0.583,3.251,2.093,3.251,-0.058,2.22195427413667,2.2631051885064,2.2869093471782
"CG8046",0.212,2.67,-1,0.925,0.554,1.87317456613424,2.37576118193915,1.3695501683927
"Scgbeta",1.306,3.877,3.512,2.17,-0.36,3.2220746240096,3.79488385939677,2.94239075113661
"CG2930",0.076,2.187,2.281,2.121,-0.124,2.72695535961824,5.62242486463411,2.88871842810201
"pain",4.554,6.73,6.335,6.643,3.74,5.83484926271007,5.89331368262554,5.77363210452316
"CG34445",5.247,5.811,7.328,4.841,1.523,7.03496502114806,6.7488884884552,6.83335585721477
"Inx7",5.83,5.81,5.013,5.062,3.861,5.31198933547108,5.55005412147529,5.10255251021181
"CG4259",1.021,2.674,3.742,1.736,-0.763,3.21932023174496,4.08722262310984,2.90404196309549
"CG6912",3.258,2.334,1.718,4.558,3.491,4.33419553487501,2.35884621004997,4.587861632758
