#Diffusion Coefficient in um^2/s; Linear fit performed on the 4 first points of trajectories > 6 points
#Pixel size= .17um ; Frame rate= .03sec
ROI	Trace	D(um2/s)	MSD(0)	MSE
 2	 18415	 .0068371645725961	 .0366229648965363	 .0424280972656075
 5	 18418	 1E-05	 .0229213587155937	 .481906539329518
 1	 18482	 1E-05	 .0283524586904378	 .735797306226169
 1	 18590	 .0185135404796584	 .0642871885033183	 .0638270545430184
 5	 18603	 .0220700902712409	 .0102599034274311	 .739652053987546
 5	 18934	 .0131172364480115	 .0108422171802448	 .571789718191309
 5	 18951	 .615412390162015	 .0492883828921835	 .985608798614022
 1	 19124	 1E-05	 .0100328946483136	 .559108985974997
 5	 19226	 .030246400441868	 .0773423581859924	 .423527273037061
 2	 19238	 .00398839168617846	 .0044517516088271	 .563094396068762
 3	 19257	 .446769755903992	 .0372091736511491	 .789070108640399
 3	 19307	 .00706267646252856	 .00837765319546513	 .927586264220645
 5	 19363	 .0198461103008322	 .00906817274151588	 .990244787826692
 5	 19410	 .0777757826928688	 .23687440486549	 .0205967561551526
 1	 19416	 1E-05	 .0358731013951268	 .0590176390785794
 1	 19462	 1E-05	 .0194208464946883	 .111852711185121
 3	 19525	 1E-05	 .00565606710859974	 .222450899890683
 1	 19533	 1E-05	 .0291921505291483	 .860118136279921
 5	 19629	 .0858216766014747	 .0258074492533899	 .936992268531686
 2	 19766	 .30250218566678	-.0127341786373318	 .990098150735522
 4	 19784	 .0162230027622937	 .0151491088270456	 .361166455863509
 2	 19977	 .0449697492075805	 .0142785940811201	 .986433483677272
 1	 19980	 .0191381027010223	 .0319851785440926	 .631737698242637
 2	 20162	 .024366165623363	 .0122131005311816	 .689649140520977
 5	 20259	 .210350570257425	-.0124336479947278	 .950894332898855
 5	 20304	 .0764323426218762	 .0655675098743416	 .394111482585304
 4	 20312	 .00945883646522465	 .0266637726855572	 .0667483000477116
 1	 20323	 .153622802498695	 .0211185948294071	 .964657817956064
 5	 20398	 .0390112117900864	 .0133397347698013	 .970343449483319
 5	 20464	 1E-05	 .086289676499693	 .832744235808997
 5	 20465	 .0149684507298455	 .0173451047933543	 .194269958179605
 3	 20508	 1E-05	 .00440422672805801	 .201317397068268
 1	 20550	 1E-05	 .0600465926729654	 .3615950689903
 1	 20557	 3.37721414525646	-.349723291077296	 .979062424214648
 1	 20673	 .305798882657857	 .112803481066828	 .466844602229253
 5	 20693	 1E-05	 .00930283318988462	 .032311857455484
 5	 20710	 .0416546951218609	 .048063562706617	 .812161974357781
 1	 20795	 1E-05	 .0415569686193417	 .205013530514236
 1	 20965	 .0331201505994659	 .035193127979548	 .791625446190802
 5	 20988	 .0685963310860277	 .0349803921079203	 .663110105152249
 5	 21038	 1E-05	 .0491051225289667	 .487821210833748
 4	 21214	 1E-05	 .00406719548275019	 .300794758430433
 2	 21239	 1E-05	 .0209113425370807	 .500740906419462
 5	 21270	 .00729697434286133	 .0179337449906355	 .098531977793416
 5	 21428	 .020616355976476	 .0314439668379249	 .094063490539685
 1	 21441	 .0131971962533882	 .0344176998089409	 .220445540652433
 4	 21522	 .000637573337079442	 .00195645927519629	 .0972631391641623
 5	 21544	 .0153993069674751	 .00831714404923067	 .803277379002677
 5	 21577	 1E-05	 .00800113761649837	 .0688211254207767
 1	 21603	 1E-05	 .0520611024961046	 .174703317191955
 2	 21643	 1E-05	 .0205057264972083	 .015383859665276
 1	 21707	 1E-05	 .0257122071859588	 .00200310966338368
 1	 21779	 .0144011829283652	 .0981105996262951	 .0102253436896848
 1	 21813	 .0220542653299754	 .0127061120403034	 .875544284029139
 2	 21903	 .0146483718566611	 .00254461264601565	 .854419845963035
 5	 21904	 .0527184679413432	 .0144597455000423	 .975228920356855
 3	 21967	 .0101527858622889	 .0210912162688207	 .332071516733852
 1	 21984	 1E-05	 .0279343444824989	 .889842497745734
 1	 22028	 .105712023570193	 .0793344312671175	 .747934670807067
 5	 22041	 1E-05	 .031816990595676	 .0140375243763889
 1	 22101	 1E-05	 .0843085118209484	 .521810224728813
 4	 22112	 .00291704287930539	 .00422440169967218	 .741450432603407
 3	 22149	 .0284411155389434	 .0147251533943389	 .48996537980768
 2	 22198	 1E-05	 .0216603262726651	 .276046232724357
 5	 22212	 .00530280162686902	 .00676132276901352	 .893222046153465
 2	 22393	 1E-05	 .0190484398807864	 .0013426878061934
 5	 22440	 .0126609795002219	 .0156391490415802	 .866529259790598
 2	 22597	 1E-05	 .0750265353482208	 .00254346807424688
 5	 22804	 1E-05	 .0148831916992464	 .547263477373274
 5	 22910	 .0211423924572847	 .00524389954479978	 .969720730687851
 1	 23026	 .0219121385384943	 .0387703441368088	 .764572428682567
 3	 23147	 .153293334678578	 .0426819676077077	 .644695813248026
 1	 23199	 1E-05	 .0329327126448366	 .0482411236927831
 3	 23238	 .00496645130918572	 .0152090798395423	 .0218189490097357
 2	 23249	 .367825032793926	 .0120475372925008	 .95299871281656
 2	 23316	 1E-05	 .145134464062702	 .0807895724782836
 1	 23441	 1.81775436356026	-.0401729830250969	 .986737652852385
 5	 23529	 1E-05	 .0564718641169985	 .0381315033989289
 2	 23604	 1E-05	 .0721168545020399	 .220737396442701
